NUMERO,NURAND,NOMBRE,TEXTO,@PRIMERA,@EXTRA 1,@EXTRA 2,@EXTRA 3,@DIBUJOS
36,81,MdCnLi-MdDiLi-Md4Do,Eme de madera con forma de canal y con textura lisa. Maza de madera con forma de disco y con textura lisa. Apoyado en 4 patas en dolmen de madera.,E:\MMMMMMMM\PRIMERAS\emes36.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes160.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes159.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes157.jpg,E:\MMMMMMMM\DIBUJOS\36.gif
37,95,CmAgAs-MdPa-CmCnt,Eme de cemento con forma de agujero y con textura áspera. Maza de madera con forma de palo. Apoyado en base continua de cemento.,E:\MMMMMMMM\PRIMERAS\emes37.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes166.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes165.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes163.jpg,E:\MMMMMMMM\DIBUJOS\37.png
38,60,EaPln(HiSr)-EaCyPo-EaCnt,Eme de espuma alta densidad con forma plana y con textura serrada aplicada con hierro. Maza de espuma alta densidad con forma de cilindro y con textura porosa. Apoyado en base continua de espuma alta densidad.,E:\MMMMMMMM\PRIMERAS\emes38.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes171.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes169.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes167.jpg,E:\MMMMMMMM\DIBUJOS\38.gif
39,52,EbHdPo-TcEsfLi-MdPd,Eme de espuma blanda con forma de hendidura y con textura porosa. Maza de terracota con forma de esfera y con textura lisa. Apoyado en pedestal de madera.,E:\MMMMMMMM\PRIMERAS\emes39.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes175.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes174.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes173.jpg,E:\MMMMMMMM\DIBUJOS\39.png
40,69,CrVsLi-CrGrtAs-Cr3Rd,Eme de cerámica con forma de vaso y con textura lisa. Maza de cerámica con forma de garrote y con textura áspera. Apoyado en 3 patas radiales de cerámica.,E:\MMMMMMMM\PRIMERAS\emes40.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes179.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes178.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes180.jpg,E:\MMMMMMMM\DIBUJOS\40.png
41,98,HiCcLi-X-Hi3Fs,Eme de hierro con forma cóncava y con textura lisa. Sin maza. Apoyado en 3 patas fasciculadas de hierro.,E:\MMMMMMMM\PRIMERAS\emes41.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes187.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes184.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes185.jpg,E:\MMMMMMMM\DIBUJOS\41.png
42,86,EaHdEt-EaCno-Pv4Fs,Eme de espuma alta densidad con forma de hendidura y con textura estriada. Maza de espuma alta densidad con forma de cono. Apoyado en 4 patas fasciculadas de pvc.,E:\MMMMMMMM\PRIMERAS\emes42.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes193.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes188.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes189.jpg,E:\MMMMMMMM\DIBUJOS\42.png
43,88,PlVs-X-PlCnt,Eme de plástico con forma de vaso. Sin maza. Apoyado en base continua de plástico.,E:\MMMMMMMM\PRIMERAS\emes43.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes194.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes195.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes196.jpg,E:\MMMMMMMM\DIBUJOS\43.gif
44,19,EpHdPo-EpEsfPo-Hi3Rd,Eme de esponja con forma de hendidura y con textura porosa. Maza de esponja con forma de esfera y con textura porosa. Apoyado en 3 patas radiales de hierro.,E:\MMMMMMMM\PRIMERAS\emes44.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes199.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes202.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes201.jpg,E:\MMMMMMMM\DIBUJOS\44.png
45,5,TcVjPo-TcEsfPo-Tc,Eme de terracota con forma de vasija y con textura porosa. Maza de terracota con forma de esfera y con textura porosa. Apoyado en base de terracota.,E:\MMMMMMMM\PRIMERAS\emes45.jpg,E:\MMMMMMMM\SEGUNDAS\1\emes208.jpg,E:\MMMMMMMM\SEGUNDAS\2\emes206.jpg,E:\MMMMMMMM\SEGUNDAS\3\emes203.jpg,E:\MMMMMMMM\DIBUJOS\45.png
